name,address,place_id,rating,reviews,price_level,website,arrondissement,street_name
les baux de paris,"71 rue mouffetard, 75005 paris, france",ChIJU8BNx-5x5kcRNSC_roNvBRs,4.6,1177,2.0,https://www.instagram.com/lesbaux_paris/,5,rue mouffetard
brasserie des prés,"6 cr du commerce saint-andré, 75006 paris, france",ChIJm_Si8glx5kcRd7Uq3X0ww6k,4.7,3259,2.0,http://lanouvellegarde.com/,6,cr du commerce saint-andré
vagenende,"142 bd saint-germain, 75006 paris, france",ChIJjec9PNlx5kcREopbHGKZZ68,4.3,1555,2.0,http://www.vagenende.com/,6,bd saint-germain
le paris paris,"8 rue de montfaucon, 75006 paris, france",ChIJ77pfIr1x5kcRzLuURgOtMqg,4.4,825,2.0,http://www.leparisparis.fr/,6,rue de montfaucon
brasserie lutetia,"43 bd raspail, 75006 paris, france",ChIJOz7If5hx5kcRJ27muAb4VHY,4.3,725,,https://www.hotellutetia.com/fr/eat-drink/brasserie/,6,bd raspail
o'neil,"20 rue des canettes, 75006 paris, france",ChIJ-4wd8dlx5kcRpL6wEprqxLc,4.3,1647,2.0,https://www.brasserieoneil.com/,6,rue des canettes
brasserie des arts,"28 rue saint-andré des arts, 75006 paris, france",ChIJ-Wjoti9x5kcRok1nIizw4wg,4.5,616,,http://brasserie-des-arts.com/,6,rue saint-andré des arts
le choupinet,"58 bd saint-michel, 75006 paris, france",ChIJBaN9AwBx5kcRiSRrpHFLFbo,4.3,2861,2.0,http://www.lechoupinet.com/,6,bd saint-michel
le nesle - brasserie restaurant,"22 rue dauphine, 75006 paris, france",ChIJm5z0R99x5kcRUiesq8mFlEA,4.4,1026,2.0,https://brasserielenesle.fr/,6,rue dauphine
brasserie lipp,"151 bd saint-germain, 75006 paris, france",ChIJg3Rfgtdx5kcRQrfAZLTsDTw,4.1,5060,3.0,https://www.brasserielipp.fr/?utm_source=Google&utm_medium=GMB&utm_campaign=LI&y_source=1_MTE2NjUxNzEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,6,bd saint-germain
chez fernand,"13 rue guisarde, 75006 paris, france",ChIJ-1qyjdlx5kcRMX6oCe8oXzg,4.5,1289,2.0,http://www.chezfernand-guisarde.com/,6,rue guisarde
la diva des prés,"79 rue de seine, 75006 paris, france",ChIJFxCm1Ylx5kcR3zje0Un7i10,4.3,1948,,https://www.ladivadespres.com/?utm_source=Google-Map&utm_medium=Fiche,6,rue de seine
camila,"5 rue mabillon, 75006 paris, france",ChIJ-bF0VAhu5kcRg7-tToTSzy0,4.4,1150,2.0,https://www.instagram.com/camilarestaurantparis/?hl=fr,6,rue mabillon
le bistro des augustins,"39 quai des grands augustins, 75006 paris, france",ChIJ4zpdo99x5kcRn-0vKiMMPhU,4.4,1994,1.0,https://www.facebook.com/pages/Bistrot-Des-Augustins/106726426061804,6,quai des grands augustins
côté saint-germain,"150 bd saint-germain, 75006 paris, france",ChIJM9Qy8C1x5kcRIkFzKs6oBYQ,4.5,392,,http://cote-saint-germain-restaurant-paris.eatbu.com/,6,bd saint-germain
