url,matching_links
https://www.huguette-bistro.com/, https://www.huguette-bistro.com/wp-content/uploads/2025/01/Hivers-2024-carte-boissons.jpg 
http://www.bistrostdominique.com/,carte.htm
https://au-canon-des-invalides.fr/,#carte
http://restaurantletresor.com/,"/#menu,http://restaurantletresor.com/wp-content/uploads/2024/10/Carte-TRESOR-Hiver-2024-2025-Francais.pdf"
https://www.cafedesministeres.fr/,/menus-carte/
https://brasserietoureiffel.com/,"#a3,http://brasserietoureiffel.kiubi-web.com/media/1872.pdf,http://brasserietoureiffel.kiubi-web.com/media/1852.pdf,http://brasserietoureiffel.kiubi-web.com/media/1882.pdf,http://brasserietoureiffel.kiubi-web.com/media/1892.pdf,http://brasserietoureiffel.kiubi-web.com/media/1862.pdf,http://menusetservices.com/"
https://www.brasserie-des-arts.com/,"/menu-et-cartes,/menu-cartes-de-la-brasserie,/carte-brunch-tea-time"
https://lecampanella.com/,https://lecampanella.com/wp-content/uploads/sites/69/2024/10/Le-Campanella_menu-livret-sept-2024_V8.pdf
https://www.fugafamily.com/restaurants/riviera-fuga,"https://cdn.prod.website-files.com/65cfd65e40a11657644709a5/6797b8202585b778bfad76f3_CARTE%20AUTOMNE%20HIVER%20-%20RIVIERA%20FUGA.pdf,https://bookings.zenchef.com/shop?rid=361735"
https://cafeconcorde.fr/,https://cafeconcorde.fr/menu/
https://www.restaurantalsace.com/?utm_source=Google&utm_medium=GMB&utm_campaign=ALS&y_source=1_MTE2NjUxNzAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"/menus-carte/?utm_source=Google&utm_medium=GMB&utm_campaign=ALS&y_source=1_MTE2NjUxNzAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,/menus-carte/?utm_source=Google&utm_medium=GMB&utm_campaign=ALS&y_source=1_MTE2NjUxNzAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D#menu-420519,/menus-carte/?utm_source=Google&utm_medium=GMB&utm_campaign=ALS&y_source=1_MTE2NjUxNzAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D#menu-454361,/menus-carte/?utm_source=Google&utm_medium=GMB&utm_campaign=ALS&y_source=1_MTE2NjUxNzAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D#menu-454362,/menus-carte/?utm_source=Google&utm_medium=GMB&utm_campaign=ALS&y_source=1_MTE2NjUxNzAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D#menu-420521,/photos/?utm_source=Google&utm_medium=GMB&utm_campaign=ALS&y_source=1_MTE2NjUxNzAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D#la-carte"
https://www.brasserielalorraine.com//?utm_source=Google&utm_medium=GMB&utm_campaign=LOR&y_source=1_MTE2NjUxNzItNzE1LWxvY2F0aW9uLndlYnNpdGU=,"/menus-carte/?utm_source=Google&utm_medium=GMB&utm_campaign=LOR&y_source=1_MTE2NjUxNzItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,/menus-carte/?utm_source=Google&utm_medium=GMB&utm_campaign=LOR&y_source=1_MTE2NjUxNzItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D#menu-421618,/menus-carte/?utm_source=Google&utm_medium=GMB&utm_campaign=LOR&y_source=1_MTE2NjUxNzItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D#menu-421599,/menus-carte/?utm_source=Google&utm_medium=GMB&utm_campaign=LOR&y_source=1_MTE2NjUxNzItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D#menu-423536,/menus-carte/?utm_source=Google&utm_medium=GMB&utm_campaign=LOR&y_source=1_MTE2NjUxNzItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D#menu-423538"
https://www.brasserie-des-champs.com/,"/menus-carte/,/menus-carte/#menu-441341,/menus-carte/#menu-442454,/menus-carte/#menu-442458"
https://www.restaurant-le-drugstore.com/,/menus-carte/
https://www.brasseriedeleurope.fr/,"/menus-carte/,/menus-carte/#menu-443555,/menus-carte/#menu-455835,/menus-carte/#menu-443557,/menus-carte/#menu-443556"
https://lazare-paris.fr/,"/le-menu/,/cartes-cadeaux/"
https://www.lemessrestaurant.com/,/menus-carte/
https://bistromarbeuf.fr/en,/en/menu
https://www.cafebeaucourfolie.fr/,"/#menu-section,/menu,/lunch-menu-english,/menu-soir,/diner-menu-english,/menu-weekend"
https://www.legrandcafe.com//?utm_source=Google&utm_medium=GMB&utm_campaign=GCC&y_source=1_MTE2NjUxODUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"/menus-carte/?utm_source=Google&utm_medium=GMB&utm_campaign=GCC&y_source=1_MTE2NjUxODUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,/menus-carte/?utm_source=Google&utm_medium=GMB&utm_campaign=GCC&y_source=1_MTE2NjUxODUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D#menu-430964,/menus-carte/?utm_source=Google&utm_medium=GMB&utm_campaign=GCC&y_source=1_MTE2NjUxODUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D#menu-447691,/menus-carte/?utm_source=Google&utm_medium=GMB&utm_campaign=GCC&y_source=1_MTE2NjUxODUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D#menu-453009,/menus-carte/?utm_source=Google&utm_medium=GMB&utm_campaign=GCC&y_source=1_MTE2NjUxODUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D#menu-432250,/menus-carte/?utm_source=Google&utm_medium=GMB&utm_campaign=GCC&y_source=1_MTE2NjUxODUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D#menu-432252,/photos/?utm_source=Google&utm_medium=GMB&utm_campaign=GCC&y_source=1_MTE2NjUxODUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D#la-carte"
https://www.privateaser.com/lieu/52238-le-royal,https://www.google.com/maps/search/?api=1&query=8%20Rue%20La%20Fayette%2075009%20Paris&query_place_id=ChIJYd6GZDdu5kcRu4KePSu01kk
https://www.privateaser.com/lieu/39750-au-bercail,https://www.google.com/maps/search/?api=1&query=6%20Rue%20de%20Maubeuge%2075009%20Paris&query_place_id=ChIJZV5YVj9u5kcRZxU8-MJiecQ
https://triadou-haussmann.fr/fr,https://triadou-haussmann.fr/fr/services
https://www.restaurant-aupetitriche.com/,"https://www.restaurant-aupetitriche.com/la-carte/,https://www.restaurant-aupetitriche.com/la-carte/#menu"
https://restaurant-lecafedeparis.com/fr,https://restaurant-lecafedeparis.com/fr/services
https://www.lesfilsamaman.com/restaurants/paris-grands-boulevards/?utm_source=google&utm_medium=organic&utm_campaign=mybusiness-website,"#prescarterestos,#ancrecarterestos,https://www.lesfilsamaman.com/wp-content/uploads/Depliant-Brunch-Paris-1124.pdf?#view=fitH&scrollbar=0&toolbar=0&navpanes=0,https://www.lesfilsamaman.com/wp-content/uploads/FAM-Gazette-Menu-Paris-1124.pdf?#view=fitH&scrollbar=0&toolbar=0&navpanes=0"
http://bosquetparis.com/,/#all-menu
https://www.lesbacchantes.fr/,"/menus-carte/,/menus-carte/#menu-276312"
https://www.fontaine-de-mars.com/,"https://www.fontaine-de-mars.com/wp-content/uploads/2024/10/MENU-FRANCAIS-FDM-23.10.2024.pdf,https://www.fontaine-de-mars.com/wp-content/uploads/2024/10/DESSERTS-FRANCAIS-FDM-23.10.2024.pdf"
https://leroyaltrinite.fr/fr,https://leroyaltrinite.fr/fr/services
https://leptitpianobar.fr/fr,/fr/menu
https://www.bistrot-rougemont.fr/,/menus-carte/
https://www.privateaser.com/lieu/6411-le-royal-bergere,https://www.google.com/maps/search/?api=1&query=24%20Rue%20Berg%C3%A8re%2075009%20Paris&query_place_id=ChIJFQhJTj5u5kcRhx0ALUThIB0
